Jahr,AG_jur,CH_jur,AG_nat,CH_nat
2004,17.897041666666667,16.063815686781904,15.233130447380606,15.14403977801045
2005,17.897041666666667,16.04479363206374,15.171328783997122,14.969023860528052
2006,17.897041666666667,15.407893109989018,15.097528373082353,14.738526033780829
2007,15.052916666666667,14.777301025274815,15.074481737246023,14.588963915923303
2008,14.699833333333332,13.681668288898393,15.169103681391462,14.616555337155386
2009,9.729791666666667,12.941665063591762,14.194750330379827,14.342660457071656
2010,8.993583333333333,12.25119096921955,14.270978141252513,14.062990660240962
2011,8.993583333333333,11.599648429398892,14.098974980383478,13.830664406940144
2012,8.993583333333333,11.346213477222092,14.110562611572764,13.763862506421834
2013,8.993583333333333,11.247097942017911,14.125133909201764,13.71970202912019
2014,8.993583333333333,11.198356626977555,14.07796945732062,13.732782115720454
2015,9.240208333333333,11.159106201869124,13.611600456416488,13.763824754550916
2016,9.240208333333333,11.087908146410433,13.665167061068223,13.782964592130957
